GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
0100000US,,United States,1600000US1254200,1254200,United States - Florida - Palm Coast city,Palm Coast city,N,N
0100000US,,United States,1600000US1255775,1255775,United States - Florida - Pembroke Pines city,Pembroke Pines city,1.6,0.9
0100000US,,United States,1600000US1257425,1257425,United States - Florida - Plantation city,Plantation city,1.0,1.0
0100000US,,United States,1600000US1258050,1258050,United States - Florida - Pompano Beach city,Pompano Beach city,7.8,3.5
0100000US,,United States,1600000US1258715,1258715,United States - Florida - Port St. Lucie city,Port St. Lucie city,0.3,0.5
0100000US,,United States,1600000US1260950,1260950,United States - Florida - Riverview CDP,Riverview CDP,0.6,1.0
0100000US,,United States,1600000US1263000,1263000,United States - Florida - St. Petersburg city,St. Petersburg city,2.6,1.0
0100000US,,United States,1600000US1268350,1268350,United States - Florida - Spring Hill CDP,Spring Hill CDP,0.0,0.7
0100000US,,United States,1600000US1269700,1269700,United States - Florida - Sunrise city,Sunrise city,2.4,1.8
0100000US,,United States,1600000US1270600,1270600,United States - Florida - Tallahassee city,Tallahassee city,2.2,1.1
0100000US,,United States,1600000US1271000,1271000,United States - Florida - Tampa city,Tampa city,3.1,0.8
0100000US,,United States,1600000US1272145,1272145,United States - Florida - Town 'n' Country CDP,Town 'n' Country CDP,0.3,0.4
0100000US,,United States,1600000US1276582,1276582,United States - Florida - Weston city,Weston city,0.4,0.7
0100000US,,United States,1600000US1276600,1276600,United States - Florida - West Palm Beach city,West Palm Beach city,2.6,1.3
0100000US,,United States,0400000US13,13,United States - Georgia,Georgia,2.2,0.2
0100000US,,United States,1600000US1301052,1301052,United States - Georgia - Albany city,Albany city,1.1,0.8
0100000US,,United States,1600000US1303440,1303440,United States - Georgia - Athens-Clarke County unified government (balance),Athens-Clarke County unified government (balance),4.9,2.0
0100000US,,United States,1600000US1304000,1304000,United States - Georgia - Atlanta city,Atlanta city,9.1,1.4
0100000US,,United States,1600000US1304204,1304204,United States - Georgia - Augusta-Richmond County consolidated government (balance),Augusta-Richmond County consolidated government (balance),2.5,1.1
0100000US,,United States,1600000US1319000,1319000,United States - Georgia - Columbus city,Columbus city,0.6,0.4
0100000US,,United States,1600000US1342425,1342425,United States - Georgia - Johns Creek city,Johns Creek city,N,N
0100000US,,United States,1600000US1349000,1349000,United States - Georgia - Macon city,Macon city,1.4,1.0
0100000US,,United States,1600000US1367284,1367284,United States - Georgia - Roswell city,Roswell city,1.6,1.3
0100000US,,United States,1600000US1368516,1368516,United States - Georgia - Sandy Springs city,Sandy Springs city,7.6,3.1
0100000US,,United States,1600000US1369000,1369000,United States - Georgia - Savannah city,Savannah city,4.1,1.7
0100000US,,United States,1600000US1380508,1380508,United States - Georgia - Warner Robins city,Warner Robins city,0.0,0.7
0100000US,,United States,0400000US15,15,United States - Hawaii,Hawaii,5.9,0.6
0100000US,,United States,1600000US1571550,1571550,United States - Hawaii - Urban Honolulu CDP,Urban Honolulu CDP,11.4,1.4
0100000US,,United States,0400000US16,16,United States - Idaho,Idaho,0.7,0.2
0100000US,,United States,1600000US1608830,1608830,United States - Idaho - Boise City city,Boise City city,0.5,0.4
0100000US,,United States,1600000US1652120,1652120,United States - Idaho - Meridian city,Meridian city,N,N
0100000US,,United States,1600000US1656260,1656260,United States - Idaho - Nampa city,Nampa city,0.1,0.1
0100000US,,United States,0400000US17,17,United States - Illinois,Illinois,9.0,0.2
0100000US,,United States,1600000US1702154,1702154,United States - Illinois - Arlington Heights village,Arlington Heights village,4.5,1.7
0100000US,,United States,1600000US1703012,1703012,United States - Illinois - Aurora city,Aurora city,6.6,2.2
0100000US,,United States,1600000US1706613,1706613,United States - Illinois - Bloomington city,Bloomington city,2.1,1.1
0100000US,,United States,1600000US1707133,1707133,United States - Illinois - Bolingbrook village,Bolingbrook village,4.2,2.0
0100000US,,United States,1600000US1712385,1712385,United States - Illinois - Champaign city,Champaign city,6.4,2.1
0100000US,,United States,1600000US1714000,1714000,United States - Illinois - Chicago city,Chicago city,27.6,0.9
0100000US,,United States,1600000US1714351,1714351,United States - Illinois - Cicero town,Cicero town,10.7,3.8
0100000US,,United States,1600000US1718823,1718823,United States - Illinois - Decatur city,Decatur city,1.4,0.8
0100000US,,United States,1600000US1723074,1723074,United States - Illinois - Elgin city,Elgin city,1.4,0.9
0100000US,,United States,1600000US1724582,1724582,United States - Illinois - Evanston city,Evanston city,19.9,3.3
0100000US,,United States,1600000US1738570,1738570,United States - Illinois - Joliet city,Joliet city,1.9,0.8
0100000US,,United States,1600000US1751622,1751622,United States - Illinois - Naperville city,Naperville city,9.0,2.5
0100000US,,United States,1600000US1757225,1757225,United States - Illinois - Palatine village,Palatine village,4.0,1.6
0100000US,,United States,1600000US1759000,1759000,United States - Illinois - Peoria city,Peoria city,3.3,1.5
0100000US,,United States,1600000US1765000,1765000,United States - Illinois - Rockford city,Rockford city,1.0,0.6
0100000US,,United States,1600000US1768003,1768003,United States - Illinois - Schaumburg village,Schaumburg village,4.1,1.7
0100000US,,United States,1600000US1770122,1770122,United States - Illinois - Skokie village,Skokie village,10.6,3.6
